id,edad,genero,educacion,ingreso_mensual,region,estado_civil,hijos,satisfaccion_vida,tiempo_estudio,actividad_fisica,opinion_gobierno,texto_libre
1,25,Femenino,Universitario,850000,Metropolitana,Soltero,0,7,4,3,Neutral,"Me siento bien con mi trabajo actual"
2,32,Masculino,Secundario,650000,Valparaíso,Casado,2,6,2,1,Descontento,"Necesito más tiempo para mi familia"
3,28,Femenino,Universitario,1200000,Metropolitana,Soltero,0,8,6,4,Satisfecho,"Estoy muy contenta con mi desarrollo profesional"
4,45,Masculino,Universitario,1800000,Biobío,Casado,3,5,1,2,Neutral,"El trabajo consume mucho tiempo"
5,22,Femenino,Secundario,450000,Metropolitana,Soltero,0,6,3,5,Descontento,"Es difícil encontrar trabajo bien pagado"
6,38,Masculino,Universitario,1500000,Valparaíso,Divorciado,1,7,4,3,Satisfecho,"A pesar de todo, estoy bien"
7,29,Femenino,Universitario,950000,Metropolitana,Casado,1,8,5,2,Satisfecho,"Mi vida familiar es muy gratificante"
8,41,Masculino,Secundario,750000,Biobío,Casado,2,5,2,1,Descontento,"Los gastos son muy altos"
9,26,Femenino,Universitario,1100000,Metropolitana,Soltero,0,9,7,4,Satisfecho,"Estoy muy satisfecha con mi vida"
10,35,Masculino,Universitario,1400000,Valparaíso,Casado,2,6,3,3,Neutral,"La vida está bien, pero podría mejorar"
11,31,Femenino,Secundario,600000,Metropolitana,Soltero,0,5,2,1,Descontento,"Es difícil ahorrar dinero"
12,27,Masculino,Universitario,1000000,Biobío,Soltero,0,7,4,5,Satisfecho,"Me gusta mi trabajo y tengo tiempo libre"
13,33,Femenino,Universitario,1300000,Metropolitana,Casado,1,8,5,2,Satisfecho,"Mi familia es lo más importante"
14,39,Masculino,Secundario,800000,Valparaíso,Divorciado,1,4,1,1,Descontento,"La situación económica está difícil"
15,24,Femenino,Universitario,900000,Metropolitana,Soltero,0,8,6,3,Satisfecho,"Estoy muy contenta con mis logros"
16,36,Masculino,Universitario,1600000,Biobío,Casado,2,6,3,4,Neutral,"El trabajo está bien, pero es estresante"
17,30,Femenino,Secundario,550000,Metropolitana,Soltero,0,5,2,2,Descontento,"Necesito un mejor trabajo"
18,43,Masculino,Universitario,1700000,Valparaíso,Casado,3,7,4,1,Satisfecho,"Mi familia me da mucha felicidad"
19,25,Femenino,Universitario,1050000,Metropolitana,Soltero,0,9,7,5,Satisfecho,"Estoy muy satisfecha con mi vida actual"
20,37,Masculino,Secundario,700000,Biobío,Divorciado,1,4,1,3,Descontento,"La vida es complicada últimamente"
21,29,Femenino,Universitario,1150000,Metropolitana,Casado,1,8,5,2,Satisfecho,"Mi trabajo me permite crecer profesionalmente"
22,34,Masculino,Universitario,1450000,Valparaíso,Casado,2,6,3,4,Neutral,"Estoy bien, pero siempre se puede mejorar"
23,26,Femenino,Secundario,500000,Metropolitana,Soltero,0,5,2,1,Descontento,"Es difícil vivir con este sueldo"
24,40,Masculino,Universitario,1750000,Biobío,Casado,2,7,4,3,Satisfecho,"Mi vida familiar es muy importante"
25,28,Femenino,Universitario,1250000,Metropolitana,Soltero,0,8,6,4,Satisfecho,"Estoy muy contenta con mi desarrollo personal" 
